单位名称,统一社会信用代码,住所,环评工程师数量,主要编制人员数量,当前状态,第1记分周期,第2记分周期,第3记分周期,第4记分周期,第5记分周期
南京国环科技股份有限公司,91320100339348292G,江苏省-南京市-玄武区-花园路11号2号楼,72,107,守信名单,1:2019:5,2:2020:5,3:2021:0,4:2022:0,5:2023:0
江苏环保产业技术研究院股份公司,91320191MA1MG37A02,江苏省-南京市-江北新区-研创园江淼路88号腾飞大厦A座23层（办公地址：建邺区江东中路211号凤凰文化广场A座19楼）,56,97,守信名单,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
浙江省环境科技有限公司,913300005765162022,浙江省-杭州市-西湖区-浙谷深蓝商务中心6号楼1501室,54,102,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
上海建科环境技术有限公司,91310120593183075T,上海市-上海市-闵行区-申旺路519号7幢H座,46,57,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
山东省环境保护科学研究设计院有限公司,91370000MA3CL36A6Q,山东省-济南市-历城区-贞元街1277号鲁坤天鸿创谷中心1-1号楼,46,83,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
中圣环境科技发展有限公司,91610000563794182G,陕西省-西安市-高新技术产业开发区-锦业路2号旺都第一幢D座4单元26层,45,48,正常公开,1:2019:8,2:2020:0,3:2021:0,4:2022:5,5:2023:0
中南安全环境技术研究院股份有限公司,91420000309805261X,湖北省-武汉市-武昌区-中南二路2号,44,83,守信名单,1:2019:0,2:2020:5,3:2021:0,4:2022:0,5:2023:0
河北省众联能源环保科技有限公司,91130100774441336R,河北省-石家庄市-桥西区-裕华西路66号海悦天地购物广场A-F座6单元1601-1619号,43,66,守信名单,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
江苏润环环境科技有限公司,913201130579629805,江苏省-南京市-栖霞区-仙林大学城元化路南京仙林大学城科技园有限公司项目地块办公房327室（办公地址：南京市鼓楼区水佐岗64号金建大厦14楼）,40,86,守信名单,1:2019:0,2:2020:5,3:2021:0,4:2022:0,5:2023:0
江苏省环境工程技术有限公司,91320000MA22C9L494,江苏省-南京市-建邺区-嘉陵江东街8号2幢3单元9层,40,20,守信名单,1:2020:0,2:2021:0,3:2022:0,4:2023:0,5::-
湖北君邦环境技术有限责任公司,91420112753422574W,湖北省-武汉市-东西湖区-武汉市吴家山新城十二路湖北现代五金机电城综合楼五楼515室（1）,38,96,守信名单,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
福建省金皇环保科技有限公司,91350000MA346J5X2D,福建省-福州市-台江区-白马路10号万科广场S2栋第五层,38,71,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:5,5:2023:0
浙江仁欣环科院有限责任公司,91330212MA281EUY04,浙江省-宁波市-鄞州区-宁波市鄞州区日丽中路南部商务西区3号楼水街40号,35,69,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
重庆环科源博达环保科技有限公司,91500105MA5U5P5431,重庆市-重庆市-渝北区-龙山街道龙山一路扬子江商务中心7楼,35,29,正常公开,1:2019:0,2:2020:0,3:2021:5,4:2022:0,5:2023:0
南大环境规划设计研究院（江苏）有限公司,91320891MA1MG7K37M,江苏省-南京市-鼓楼区-鼓楼街道汉口路22号逸夫管理科学楼14楼,34,68,守信名单,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
河北奇正环境科技有限公司,91130104779199876U,河北省-石家庄市-桥西区-自强路118号中交财富中心T3座5层,33,29,守信名单,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
南京大学环境规划设计研究院集团股份公司,91320116598034087A,江苏省-南京市-江北新区-（原六合区）科创大道9号A6栋5层,33,41,守信名单,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
中国电建集团华东勘测设计研究院有限公司,91330000142920718C,浙江省-杭州市-下城区-潮王路22号,31,25,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
联合泰泽环境科技发展有限公司,91120101MA05KTQY3M,天津市-天津市-和平区-天津市和平区小白楼街曲阜道80号504室,29,10,正常公开,1:2019:0,2:2020:5,3:2021:5,4:2022:0,5:2023:0
中煤科工重庆设计研究院(集团)有限公司,915000002028031195,重庆市-重庆市-渝中区-大坪长江二路179号,27,45,守信名单,1:2019:10,2:2020:5,3:2021:0,4:2022:0,5:2023:0
辽宁省环境规划院有限公司,912100000517847650,辽宁省-沈阳市-皇姑区-崇山东路34号,27,33,守信名单,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
南京源恒环境研究所有限公司,91320113780658830G,江苏省-南京市-栖霞区-马群街道紫东路2号7幢501-502室,26,41,守信名单,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
浙江省工业环保设计研究院有限公司,91330108143049602B,浙江省-杭州市-西湖区-教工路149号14幢7-10层,26,42,正常公开,1:2019:5,2:2020:0,3:2021:5,4:2022:0,5:2023:0
四川省环科源科技有限公司,91510100MA61T42C93,四川省-成都市-高新区-中国（四川）自由贸易试验区成都高新区天府四街199号长虹科技大厦B座12层,26,39,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
中海环境科技（上海）股份有限公司,91310000055928009H,上海市-上海市-中国（上海）自由贸易试验区-民生路600号10号楼,26,29,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
广东智环创新环境科技有限公司,91440101MA59CHG40J,广东省-广州市-越秀区-东风中路341号二楼南面,25,74,守信名单,1:2019:0,2:2020:5,3:2021:0,4:2022:0,5:2023:0
山西省交通环境保护中心站（有限公司）,91140000MA0GRP226Y,山西省-太原市-山西转型综改示范区-武洛街27号,25,12,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
江西省地质局实验测试大队,12360000858266387A,江西省-南昌市-青山湖区-洪都中大道101号260厂院内,24,22,正常公开,1:2019:0,2:2020:0,3:2021:5,4:2022:0,5:2023:5
信息产业电子第十一设计研究院科技工程股份有限公司,915101002019764990,四川省-成都市-成华区-双林路251号A座,24,32,正常公开,1:2019:0,2:2020:0,3:2021:5,4:2022:0,5:2023:0
国电环境保护研究院有限公司,91320100733157662P,江苏省-南京市-浦口区-浦东路10号,24,13,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
河南省化工研究所有限责任公司,914101038699517429,河南省-郑州市-二七区-郑州市建设东路37号,24,12,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
山西晋环科源环境资源科技有限公司,911401003257369137,山西省-太原市-万柏林区-漪汾桥西望景路8号浙江大厦七层,24,22,正常公开,1:2019:5,2:2020:0,3:2021:0,4:2022:0,5:2023:0
中铁第一勘察设计院集团有限公司,91610000224338828L,陕西省-西安市-雁塔区-西影路2号,24,27,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
陕西省现代建筑设计研究院有限公司,916100004352009337,陕西省-西安市-浐灞生态区-兴泰七街168号,23,41,正常公开,1:2019:0,2:2020:0,3:2021:5,4:2022:0,5:2023:0
武汉智汇元环保科技有限公司,91420100347233508Q,湖北省-武汉市-东湖新技术开发区-两湖大道东民族大道331号武汉市福成建材有限公司综合楼1-13层402,23,16,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
中水北方勘测设计研究有限责任公司,91120103401360058T,天津市-天津市-河西区-洞庭路60号,23,20,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:5,5:2023:0
河北正润环境科技有限公司,91130100MA07MWQ22E,河北省-石家庄市-桥西区-西二环南路101号曼洒特商厦309室,22,19,守信名单,1:2019:5,2:2020:0,3:2021:0,4:2022:0,5:2023:0
山西清泽阳光环保科技有限公司,91140105670160767F,山西省-太原市-小店区-体育西路309号园梅源商务14层,22,24,守信名单,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
泉州市华大环境保护研究院有限公司,91350526068769422A,福建省-泉州市-洛江区-兴达路52号,22,6,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
新疆天合环境技术咨询有限公司,91650100313334175L,新疆维吾尔自治区-乌鲁木齐市-水磨沟区-南湖西路215号,21,30,守信名单,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
上海华闵环境股份有限公司,913101075707803957,上海市-上海市-普陀区-中山北路3663号358幢210C室,21,35,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
青岛中油华东院安全环保有限公司,91370202747213506G,山东省-青岛市-市南区-延安三路113号甲,21,18,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
浙江泰诚环境科技有限公司,91331000MA28G7Y6XD,浙江省-台州市-市辖区-台州市万达广场4幢2321室,20,39,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
江苏龙环环境科技有限公司,91320411354958638D,江苏省-常州市-新北区-新桥商业广场1幢1701室,20,45,守信名单,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
中材地质工程勘查研究院有限公司,91110000400000974J,北京市-北京市-朝阳区-望京西路甲50-1号卷石天地大厦A座401、402,20,29,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:5,5:2023:0
西安中地环境科技有限公司,91610103766981025F,陕西省-西安市-碑林区-友谊东路438号533室,20,20,正常公开,1:2019:5,2:2020:5,3:2021:0,4:2022:0,5:2023:5
核工业北京化工冶金研究院,12100000400777679W,北京市-北京市-通州区-九棵树145号,20,13,正常公开,1:2019:5,2:2020:0,3:2021:0,4:2022:0,5:2023:0
宁夏环境科学研究院（有限责任公司）,91640100750841220K,宁夏回族自治区-银川市-金凤区-宁安北街亲宁巷国贸新天地A座13、14楼,20,13,正常公开,1:2019:0,2:2020:5,3:2021:0,4:2022:0,5:2023:0
中冶西北工程技术有限公司,91150200114397501Y,内蒙古自治区-包头市-昆都仑区-钢铁大街,20,15,正常公开,1:2019:0,2:2020:5,3:2021:0,4:2022:0,5:2023:0
中铁第四勘察设计院集团有限公司,914201007071167872,湖北省-武汉市-武昌区-和平大道745号,20,25,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
上海勘测设计研究院有限公司,91310109425010781E,上海市-上海市-虹口区-逸仙路388号,20,39,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
中煤科工西安研究院（集团）有限公司,916100002942569160,陕西省-西安市-高新技术产业开发区-陕西省西安市高新区锦业一路82号,20,0,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
中国铁路设计集团有限公司,91120000103062810U,天津市-天津市-滨海新区-自贸试验区（空港经济区）东七道109号,20,41,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
长江勘测规划设计研究有限责任公司,914201006727695410,湖北省-武汉市-江岸区-解放大道1863号,20,10,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
安徽皖欣环境科技有限公司,91340100343806006W,安徽省-合肥市-经济技术开发区-九龙路168号合肥创新中心3幢,19,59,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:7,5:2023:0
北京国寰环境技术有限责任公司,91110105MA00196727,北京市-北京市-朝阳区-北苑路40号北京国寰办公楼,19,31,守信名单,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
中国辐射防护研究院,121000004058003644,山西省-太原市-小店区-学府街102号,19,27,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
安徽睿晟环境科技有限公司,91340100MA2NTF7C3Q,安徽省-合肥市-经济技术开发区-安徽省合肥市经济技术开发区九龙路168号东湖创新中心1＃楼5层501室,18,39,正常公开,1:2019:0,2:2020:5,3:2021:0,4:2022:0,5:2023:5
四川省核工业辐射测试防护院（四川省核应急技术支持中心）,1251000078669375X5,四川省-成都市-成华区-华冠路35号,18,20,守信名单,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
山西清源环境咨询有限公司,91140106660400800Y,山西省-太原市-迎泽区-桃园南路64号1幢406甲,18,18,守信名单,1:2019:0,2:2020:10,3:2021:0,4:2022:0,5:2023:0
新疆兵团勘测设计院集团股份有限公司,9165010022872948XD,新疆维吾尔自治区-乌鲁木齐市-天山区-建设路36号,18,32,守信名单,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
天科院环境科技发展（天津）有限公司,91120118MA05LCHT44,天津市-天津市-东疆港保税区-重庆道以南，呼伦贝尔路以西铭海中心5号楼-4、10-707,18,48,守信名单,1:2019:5,2:2020:0,3:2021:0,4:2022:0,5:2023:0
上海格林曼环境技术有限公司,913101095903768596,上海市-上海市-虹口区-纪念路500号5幢203室,18,32,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
煤炭工业太原设计研究院集团有限公司,9114010011012360X1,山西省-太原市-迎泽区-青年路18号,18,46,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
中冶焦耐（大连）工程技术有限公司,91210231683013176G,辽宁省-大连市-高新区-七贤岭高能街128号,18,8,正常公开,1:2019:5,2:2020:0,3:2021:0,4:2022:0,5:2023:5
中冶节能环保有限责任公司,9111010810195169X3,北京市-北京市-海淀区-西土城路33号,18,7,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
福建省华厦能源设计研究院有限公司,9135000015814512XT,福建省-福州市-鼓楼区-琴亭路29号福能方圆大厦6至11楼,18,2,正常公开,1:2019:0,2:2020:0,3:2021:5,4:2022:0,5:2023:0
中国核动力研究设计院,12100000450716858P,四川省-成都市-双流区-长顺大道一段328号,18,19,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
长江水资源保护科学研究所,121000004413542507,湖北省-武汉市-汉阳区-琴台大道515号,18,48,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
核工业二七0研究所,12100000491204824K,江西省-南昌市-南昌县-莲塘镇莲西路508号,17,11,正常公开,1:2019:0,2:2020:10,3:2021:5,4:2022:3,5:2023:0
苏州热工研究院有限公司,913205084669547113,江苏省-苏州市-姑苏区-西环路1688号,17,19,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
海油环境科技（北京）有限公司,91110114MA01Q7HP1A,北京市-北京市-昌平区-未来科学城英才北三街16号院15号楼2单元302-2室,17,9,正常公开,1:2021:0,2:2022:0,3:2023:0,4:2024:0,5::-
中海油研究总院有限责任公司,911100007109260782,北京市-北京市-朝阳区-太阳宫南街6号,17,19,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
中国寰球工程有限公司,91110000101726636L,北京市-北京市-朝阳区-创达二路1号,17,13,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
中国五环工程有限公司,91420100177672304J,湖北省-武汉市-东湖新技术开发区-民族大道1019号,17,2,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
金华市环科环境技术有限公司,91330701MA28D5MG3L,浙江省-金华市-经济开发区-李渔路1089号宝莲广场B座5楼,16,29,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
核工业二0三研究所,12100000435630837Y,陕西省-西咸新区-沣东新城-科源三路869号,16,15,守信名单,1:2019:5,2:2020:0,3:2021:0,4:2022:0,5:2023:0
上海同济环保咨询有限公司,91310109MA1G5FPK4B,上海市-上海市-虹口区-中山北二路1515号E段901室,16,29,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
山东海纳环境工程有限公司,91370211MA3CGU23XQ,山东省-青岛市-黄岛区-原开发区长江中路216栋1单元4楼407号,16,23,正常公开,1:2019:5,2:2020:5,3:2021:0,4:2022:0,5:2023:0
中核第四研究设计工程有限公司,911301001043361316,河北省-石家庄市-裕华区-体育南大街261号,16,22,正常公开,1:2019:0,2:2020:5,3:2021:5,4:2022:0,5:2023:0
中国电建集团中南勘测设计研究院有限公司,91430000444885356Q,湖南省-长沙市-雨花区-香樟东路16号,16,17,正常公开,1:2019:5,2:2020:0,3:2021:0,4:2022:0,5:2023:0
四川天宇石油环保安全技术咨询服务有限公司,91510100717581535C,四川省-成都市-高新区-孵化园7幢4层5号,16,2,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
中国电建集团贵阳勘测设计研究院有限公司,9152000070966703X2,贵州省-贵阳市-观山湖区-兴黔路16号,16,15,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
中国电建集团成都勘测设计研究院有限公司,915100004507513971,四川省-成都市-青羊区-浣花北路1号,16,24,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
中机国际工程设计研究院有限责任公司,914300004448853216,湖南省-长沙市-雨花区-韶山中路18号,16,3,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
中海油天津化工研究设计院有限公司,91120000401360939E,天津市-天津市-红桥区-丁字沽三号路85号,16,7,正常公开,1:2019:5,2:2020:0,3:2021:0,4:2022:0,5:2023:0
中冶赛迪重庆环境咨询有限公司,9150000008241939X9,重庆市-重庆市-北部新区-赛迪路1号,16,10,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
黄河勘测规划设计研究院有限公司,914100001699928500,河南省-郑州市-金水区-金水路109号,16,19,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
自然资源部第三海洋研究所,12100000426603052N,福建省-厦门市-思明区-大学路178号,16,20,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
山东海美侬项目咨询有限公司,91370102776341355D,山东省-济南市-历下区-经十路9777号鲁商国奥城2号楼2101室,15,19,正常公开,1:2019:0,2:2020:10,3:2021:0,4:2022:0,5:2023:0
广东韶科环保科技有限公司,91440200MA4ULRAX3A,广东省-韶关市-武江区-沐溪大道170号韶关粤商特种材料创新园1幢3层6号办公房,15,21,守信名单,1:2019:10,2:2020:0,3:2021:0,4:2022:0,5:2023:0
宁夏回族自治区石油化工环境科学研究院股份有限公司,91640100763210823M,宁夏回族自治区-银川市-金凤区-北京中路新新家园6号楼八层,15,18,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:5,5:2023:0
天津环科源环保科技有限公司,91120116MA05J6E784,天津市-天津市-经济技术开发区-洞庭一街4号科技发展中心1号楼512室,15,13,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
重庆港力环保股份有限公司,915001076635719127,重庆市-重庆市-渝中区-虎踞路88号1-6,15,25,正常公开,1:2019:0,2:2020:0,3:2021:2,4:2022:0,5:2023:0
中国电力工程顾问集团华东电力设计院有限公司,913101011323005077,上海市-上海市-黄浦区-河南中路99号2-6层,15,27,正常公开,1:2019:0,2:2020:5,3:2021:0,4:2022:0,5:2023:0
中国电力工程顾问集团东北电力设计院有限公司,91220000123938680X,吉林省-长春市-南关区-人民大街4368号,15,45,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:9
中机中联工程有限公司,9150010720288713XA,重庆市-重庆市-九龙坡区-渝州路17号,15,10,正常公开,1:2019:5,2:2020:5,3:2021:5,4:2022:0,5:2023:0
内蒙古电力勘测设计院有限责任公司,91150100114168362J,内蒙古自治区-呼和浩特市-赛罕区-鄂尔多斯东街巨海城八区5号、6号写字楼,15,6,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:5,5:2023:0
广西博宇生态环境有限公司,91450100MAC0YPAB6T,广西壮族自治区-南宁市-青秀区-东葛路118号南宁青秀万达广场西1栋4102、4103号,15,30,正常公开,1:2022:0,2:2023:0,3::-,4::-,5::-
北京国环清华环境工程设计研究院有限公司,911101087001457885,北京市-北京市-海淀区-清华大学学研综合楼A304室,15,12,正常公开,1:2019:0,2:2020:5,3:2021:0,4:2022:0,5:2023:0
河南省冶金研究所有限责任公司,914101058699511600,河南省-郑州市-金水区-黄河北街4附1号,15,8,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
矿冶科技集团有限公司,91110000400000720M,北京市-北京市-西城区-西外文兴街1号,15,0,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
福建省水利水电勘测设计研究院有限公司,9135000015815726XT,福建省-福州市-鼓楼区-福州市东大路158号,15,8,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
中国电建集团北京勘测设计研究院有限公司,91110000101115237J,北京市-北京市-朝阳区-定福庄西街14楼,15,17,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:5
中国核电工程有限公司,911100001000027329,北京市-北京市-海淀区-西三环北路117号,15,5,正常公开,1:2020:0,2:2021:0,3:2022:0,4:2023:0,5::-
中国汽车工业工程有限公司,91120000780325964K,天津市-天津市-南开区-长江道591号,15,10,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:5,5:2023:0
浙江中蓝环境科技有限公司,913303003255254114,浙江省-温州市-鹿城区-勤民路599号玉鸣园18幢1301、1302、1303、1304室,14,31,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
中国电力工程顾问集团中南电力设计院有限公司,914200001775634079,湖北省-武汉市-武昌区-中南二路12号,14,47,守信名单,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
广东顺德环境科学研究院有限公司,91440606768407545Y,广东省-佛山市-顺德区-大良街道新城区兴业路2号,14,36,守信名单,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
中勘冶金勘察设计研究院有限责任公司,91130600105946556M,河北省-保定市-竞秀区-保定市东风中路1285号,14,22,守信名单,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
核工业二三0研究所,121000004448853130,湖南省-长沙市-雨花区-桂花路34号,14,16,守信名单,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
甘肃创新环境科技有限责任公司,91620100MA71T4640N,甘肃省-兰州市-城关区-甘肃省兰州市城关区高新S625号路以南5号13号楼20层02、03室,14,15,正常公开,1:2019:0,2:2020:0,3:2021:5,4:2022:0,5:2023:0
青岛华益环保科技有限公司,91370202MA3C251Y2Y,山东省-青岛市-市南区-银川西路67-69号动漫产业园C座301、310B室,14,27,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
江苏智盛环境科技有限公司,91320700346363298W,江苏省-连云港市-市辖区-连云港市朝阳东路55号银泰泰达国际大厦B座8楼,14,17,守信名单,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
深圳市汉宇环境科技有限公司,91440300359174752B,广东省-深圳市-南山区-前海深港合作区前湾一路1号A栋201室（入驻深圳市前海商务秘书有限公司）,14,19,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
上海达恩贝拉环境科技发展有限公司,913101155515529875,上海市-上海市-中国（上海）自由贸易试验区-浦东大道2123号3E-1179室,14,32,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
江苏国恒安全评价咨询服务有限公司,91320193704175263U,江苏省-南京市-江北新区-长芦街道宁六路606号C109室（办公地址：南京市建邺区君泰国际B栋9层、9A层）,14,6,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
中国电力工程顾问集团西北电力设计院有限公司,91610000435231692P,陕西省-西安市-高新技术产业开发区-团结南路22号,14,30,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
核工业北京地质研究院,1210000040001978XF,北京市-北京市-朝阳区-小关东里10号院,14,9,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
招商局重庆交通科研设计院有限公司,915000004504058739,重庆市-重庆市-南岸区-学府大道33号,14,1,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
天津市博创环保科技有限公司,91120118MA06T7U948,天津市-天津市-滨海新区-天津自贸试验区（中心商务区）中海大厦-1704,14,0,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
中蓝连海设计研究院有限公司,91320700138975505L,江苏省-连云港市-海州区-朝阳西路51号,14,18,正常公开,1:2019:5,2:2020:0,3:2021:0,4:2022:0,5:2023:5
四川省工业环境监测研究院,12510000450714545W,四川省-成都市-武侯区-人民南路四段20号,14,22,正常公开,1:2021:0,2:2022:0,3:2023:0,4::-,5::-
中铁二院工程集团有限责任公司,915101007302071266,四川省-成都市-金牛区-通锦路3号,14,25,正常公开,1:2019:0,2:2020:4,3:2021:0,4:2022:0,5:2023:0
中铁工程设计咨询集团有限公司,91110000764205727U,北京市-北京市-丰台区-航丰路13号院2号楼4层406室,14,18,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:5,5:2023:0
珠江水资源保护科学研究所,12100000G18465398Q,广东省-广州市-天河区-天寿路80号,14,22,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
中煤西安设计工程有限责任公司,916101032206029199,陕西省-西安市-碑林区-雁塔路北段66号,14,12,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
中冶南方工程技术有限公司,9142010075817731XE,湖北省-武汉市-东湖新技术开发区-大学园路33号,14,26,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
赛鼎工程有限公司,91140100405747081B,山西省-太原市-山西转型综改示范区-太原学府园区晋阳街赛鼎路1号,14,9,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
重庆后科环保有限责任公司,91500103MA5U6UF380,重庆市-重庆市-渝中区-大坪正街160号4幢44-23＃,13,20,正常公开,1:2019:5,2:2020:0,3:2021:5,4:2022:0,5:2023:0
江苏新诚润科工程咨询有限公司,91320300MA1X7UN99Y,江苏省-徐州市-云龙区-绿地商务城蓝海二期D座10层,13,15,守信名单,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
聊城市环境科学工程设计院有限公司,91371500MA3C8QGL1D,山东省-聊城市-高新技术产业开发区-湖南东路环保科技园,13,5,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
浙江碧扬环境工程技术有限公司,91330106341961619C,浙江省-杭州市-西湖区-万塘路317号华星世纪大楼5层503、505号,13,15,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
新疆化工设计研究院有限责任公司,91650000457600946W,新疆维吾尔自治区-乌鲁木齐市-高新区-（新市区）喀什东路559号5号办公楼6-11层,13,25,守信名单,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
北京中环博宏环境资源科技有限公司,91110105MA001NJQ9G,北京市-北京市-朝阳区-来广营红军营南路甲1号B座,13,16,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
西安建筑科技大学,1261000043523106XB,陕西省-西安市-碑林区-雁塔路中段13号,13,4,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
中赟国际工程有限公司,914101001700719015,河南省-郑州市-中原区-中原路210号,13,11,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
河北瑞三元环境科技有限公司,91130100068117715Y,河北省-石家庄市-裕华区-南二环20号河北师大科技园A座1030号,13,7,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
中国电建集团西北勘测设计研究院有限公司,91610000623755629P,陕西省-西安市-雁塔区-丈八东路18号,13,15,正常公开,1:2019:0,2:2020:0,3:2021:0,4:2022:0,5:2023:0
